;ESPAÑOL;ARTISTICA;BIOLOGIA;ECONOMIA;ED. FISICA;EMPRENDIMIENTO;ESTADISTICA;ETICA;FILOSOFIA;FISICA;GEOMETRIA;HISTORIA;INFORMATICA;INGLES;L. CRITICA;MATEMATICA;POLITICA;QUIMICA;RELIGION;TECNOLOGIA;URBANIDAD;CIENCIAS NATURALES;TECNOLOGIA E INFORMATICA;;SOCIALES 
1A;;;;;;;;;;;;;;;;;;;;;;;;;
1B;;;;;;;;;;;;;;;;;;;;;;;;;
1C;;;;;;;;;;;;;;;;;;;;;;;;;
2A;;;;;;;;;;;;;;;;;;;;;;;;;
2B;;;;;;;;;;;;;;;;;;;;;;;;;
2D;;;;;;;;;;;;;;;;;;;;;;;;;
3A;;;;;;;;;;;;;;;;;;;;;;;;;
3B;;;;;;;;;;;;;;;;;;;;;;;;;
3C;;;;;;;;;;;;;;;;;;;;;;;;;
4A;;;;;;;;;;;;;;;;;;;;;;;;;
4B;;;;;;;;;;;;;;;;;;;;;;;;;
4C;;;;;;;;;;;;;;;;;;;;;;;;;
5A;;;;;;;;;;;;;;;;;;;;;;;;;
5B;;;;;;;;;;;;;;;;;;;;;;;;;
5C;;;;;;;;;;;;;;;;;;;;;;;;;
6A;;;;;;;;;;;;;;;;;;;;;;;;;
6B;;;;;;;;;;;;;;;;;;;;;;;;;
6C;;;;;;;;;;;;;;;;;;;;;;;;;
7A;;;;;;;;;;;;;;;;;;;;;;;;;
7B;;;;;;;;;;;;;;;;;;;;;;;;;
7C;;;;;;;;;;;;;;;;;;;;;;;;;
8A;;;;;;;;;;;;;;;;;;;;;;;;;
8B;;;;;;;;;;;;;;;;;;;;;;;;;
9A;;;;;;;;;;;;;;;;;;;;;;;;;
9B;;;;;;;;;;;;;;;;;;;;;;;;;
10A;;;;;;;;;;;;;;;;;;;;;;;;;
10B;;;;;;;;;;;;;;;;;;;;;;;;;
11A;;;;;;;;;;;;;;;;;;;;;;;;;
11B;;;;;;;;;;;;;;;;;;;;;;;;;
